PID,UNIT,BEEP,OCCASION,Happy,PA,NA
2,1,1,1,66,16,NA
2,1,2,2,74,24,NA
2,1,3,3,NA,NA,NA
2,1,4,4,79,29,NA
2,1,5,5,NA,NA,NA
2,2,1,6,53,3,NA
2,2,2,7,43,NA,7
2,2,3,8,39,NA,11
2,2,4,9,64,14,NA
2,2,5,10,95,45,NA
2,3,1,11,85,35,NA
2,3,2,12,82,32,NA
2,3,3,13,51,1,NA
2,3,4,14,79,29,NA
2,3,5,15,81,31,NA
2,4,1,16,55,5,NA
2,4,2,17,73,23,NA
2,4,3,18,62,12,NA
2,4,4,19,44,NA,6
2,4,5,20,89,39,NA
2,5,1,21,64,14,NA
2,5,2,22,75,25,NA
2,5,3,23,48,NA,2
2,5,4,24,96,46,NA
2,5,5,25,83,33,NA
2,6,1,26,94,44,NA
2,6,2,27,86,36,NA
2,6,3,28,95,45,NA
2,6,4,29,61,11,NA
2,6,5,30,83,33,NA
2,7,1,31,57,7,NA
2,7,2,32,100,50,NA
2,7,3,33,82,32,NA
2,7,4,34,82,32,NA
2,7,5,35,48,NA,2
2,8,1,36,59,9,NA
2,8,2,37,77,27,NA
2,8,3,38,64,14,NA
2,8,4,39,69,19,NA
2,8,5,40,90,40,NA
2,9,1,41,62,12,NA
2,9,2,42,48,NA,2
2,9,3,43,91,41,NA
2,9,4,44,80,30,NA
2,9,5,45,71,21,NA
2,10,1,46,84,34,NA
2,10,2,47,73,23,NA
2,10,3,48,97,47,NA
2,10,4,49,90,40,NA
2,10,5,50,72,22,NA
2,11,1,51,58,8,NA
2,11,2,52,59,9,NA
2,11,3,53,49,NA,1
2,11,4,54,70,20,NA
2,11,5,55,62,12,NA
2,12,1,56,60,10,NA
2,12,2,57,79,29,NA
2,12,3,58,70,20,NA
2,12,4,59,77,27,NA
2,12,5,60,90,40,NA
2,13,1,61,88,38,NA
2,13,2,62,NA,NA,NA
2,13,3,63,53,3,NA
2,13,4,64,58,8,NA
2,13,5,65,87,37,NA
2,14,1,66,80,30,NA
2,14,2,67,51,1,NA
2,14,3,68,57,7,NA
2,14,4,69,65,15,NA
2,14,5,70,65,15,NA
2,15,1,71,58,8,NA
2,15,2,72,44,NA,6
2,15,3,73,86,36,NA
2,15,4,74,78,28,NA
2,15,5,75,86,36,NA
2,16,1,76,69,19,NA
2,16,2,77,94,44,NA
2,16,3,78,85,35,NA
2,16,4,79,92,42,NA
2,16,5,80,57,7,NA
2,17,1,81,50,NA,NA
2,17,2,82,72,22,NA
2,17,3,83,68,18,NA
2,17,4,84,87,37,NA
2,17,5,85,100,50,NA
2,18,1,86,69,19,NA
2,18,2,87,58,8,NA
2,18,3,88,NA,NA,NA
2,18,4,89,55,5,NA
2,18,5,90,74,24,NA
2,19,1,91,69,19,NA
2,19,2,92,50,NA,NA
2,19,3,93,87,37,NA
2,19,4,94,86,36,NA
2,19,5,95,100,50,NA
2,20,1,96,57,7,NA
2,20,2,97,90,40,NA
2,20,3,98,66,16,NA
2,20,4,99,84,34,NA
2,20,5,100,68,18,NA
2,21,1,101,62,12,NA
2,21,2,102,40,NA,10
2,21,3,103,36,NA,14
2,21,4,104,68,18,NA
2,21,5,105,69,19,NA
3,1,1,1,80,30,NA
3,1,2,2,36,NA,14
3,1,3,3,68,18,NA
3,1,4,4,32,NA,18
3,1,5,5,83,33,NA
3,2,1,6,73,23,NA
3,2,2,7,76,26,NA
3,2,3,8,90,40,NA
3,2,4,9,72,22,NA
3,2,5,10,73,23,NA
3,3,1,11,78,28,NA
3,3,2,12,79,29,NA
3,3,3,13,83,33,NA
3,3,4,14,79,29,NA
3,3,5,15,79,29,NA
3,4,1,16,63,13,NA
3,4,2,17,64,14,NA
3,4,3,18,71,21,NA
3,4,4,19,76,26,NA
3,4,5,20,73,23,NA
3,5,1,21,71,21,NA
3,5,2,22,96,46,NA
3,5,3,23,100,50,NA
3,5,4,24,83,33,NA
3,5,5,25,75,25,NA
3,6,1,26,79,29,NA
3,6,2,27,75,25,NA
3,6,3,28,75,25,NA
3,6,4,29,95,45,NA
3,6,5,30,100,50,NA
3,7,1,31,75,25,NA
3,7,2,32,77,27,NA
3,7,3,33,61,11,NA
3,7,4,34,87,37,NA
3,7,5,35,79,29,NA
3,8,1,36,81,31,NA
3,8,2,37,63,13,NA
3,8,3,38,76,26,NA
3,8,4,39,76,26,NA
3,8,5,40,73,23,NA
3,9,1,41,75,25,NA
3,9,2,42,76,26,NA
3,9,3,43,86,36,NA
3,9,4,44,74,24,NA
3,9,5,45,81,31,NA
3,10,1,46,86,36,NA
3,10,2,47,70,20,NA
3,10,3,48,89,39,NA
3,10,4,49,80,30,NA
3,10,5,50,74,24,NA
3,11,1,51,64,14,NA
3,11,2,52,65,15,NA
3,11,3,53,72,22,NA
3,11,4,54,78,28,NA
3,11,5,55,76,26,NA
3,12,1,56,73,23,NA
3,12,2,57,66,16,NA
3,12,3,58,69,19,NA
3,12,4,59,67,17,NA
3,12,5,60,78,28,NA
3,13,1,61,79,29,NA
3,13,2,62,80,30,NA
3,13,3,63,72,22,NA
3,13,4,64,NA,NA,NA
3,13,5,65,79,29,NA
3,14,1,66,81,31,NA
3,14,2,67,66,16,NA
3,14,3,68,73,23,NA
3,14,4,69,70,20,NA
3,14,5,70,79,29,NA
3,15,1,71,70,20,NA
3,15,2,72,75,25,NA
3,15,3,73,70,20,NA
3,15,4,74,81,31,NA
3,15,5,75,70,20,NA
3,16,1,76,74,24,NA
3,16,2,77,73,23,NA
3,16,3,78,92,42,NA
3,16,4,79,NA,NA,NA
3,16,5,80,74,24,NA
3,17,1,81,71,21,NA
3,17,2,82,76,26,NA
3,17,3,83,NA,NA,NA
3,17,4,84,85,35,NA
3,17,5,85,NA,NA,NA
3,18,1,86,77,27,NA
3,18,2,87,78,28,NA
3,18,3,88,73,23,NA
3,18,4,89,81,31,NA
3,18,5,90,78,28,NA
3,19,1,91,79,29,NA
3,19,2,92,81,31,NA
3,19,3,93,NA,NA,NA
3,19,4,94,100,50,NA
3,19,5,95,100,50,NA
3,20,1,96,90,40,NA
3,20,2,97,70,20,NA
3,20,3,98,67,17,NA
3,20,4,99,80,30,NA
3,20,5,100,75,25,NA
3,21,1,101,80,30,NA
3,21,2,102,NA,NA,NA
3,21,3,103,79,29,NA
3,21,4,104,NA,NA,NA
3,21,5,105,83,33,NA
4,1,1,1,34,NA,16
4,1,2,2,28,NA,22
4,1,3,3,52,2,NA
4,1,4,4,31,NA,19
4,1,5,5,36,NA,14
4,2,1,6,27,NA,23
4,2,2,7,43,NA,7
4,2,3,8,30,NA,20
4,2,4,9,59,9,NA
4,2,5,10,26,NA,24
4,3,1,11,23,NA,27
4,3,2,12,59,9,NA
4,3,3,13,67,17,NA
4,3,4,14,41,NA,9
4,3,5,15,33,NA,17
4,4,1,16,55,5,NA
4,4,2,17,39,NA,11
4,4,3,18,41,NA,9
4,4,4,19,32,NA,18
4,4,5,20,44,NA,6
4,5,1,21,44,NA,6
4,5,2,22,31,NA,19
4,5,3,23,30,NA,20
4,5,4,24,52,2,NA
4,5,5,25,NA,NA,NA
4,6,1,26,39,NA,11
4,6,2,27,57,7,NA
4,6,3,28,45,NA,5
4,6,4,29,45,NA,5
4,6,5,30,38,NA,12
4,7,1,31,43,NA,7
4,7,2,32,38,NA,12
4,7,3,33,74,24,NA
4,7,4,34,NA,NA,NA
4,7,5,35,63,13,NA
4,8,1,36,25,NA,25
4,8,2,37,25,NA,25
4,8,3,38,58,8,NA
4,8,4,39,33,NA,17
4,8,5,40,46,NA,4
4,9,1,41,80,30,NA
4,9,2,42,NA,NA,NA
4,9,3,43,95,45,NA
4,9,4,44,79,29,NA
4,9,5,45,74,24,NA
4,10,1,46,69,19,NA
4,10,2,47,76,26,NA
4,10,3,48,82,32,NA
4,10,4,49,82,32,NA
4,10,5,50,63,13,NA
4,11,1,51,63,13,NA
4,11,2,52,88,38,NA
4,11,3,53,68,18,NA
4,11,4,54,63,13,NA
4,11,5,55,59,9,NA
4,12,1,56,65,15,NA
4,12,2,57,57,7,NA
4,12,3,58,63,13,NA
4,12,4,59,61,11,NA
4,12,5,60,50,NA,NA
4,13,1,61,27,NA,23
4,13,2,62,32,NA,18
4,13,3,63,60,10,NA
4,13,4,64,25,NA,25
4,13,5,65,21,NA,29
4,14,1,66,41,NA,9
4,14,2,67,21,NA,29
4,14,3,68,19,NA,31
4,14,4,69,30,NA,20
4,14,5,70,34,NA,16
4,15,1,71,41,NA,9
4,15,2,72,38,NA,12
4,15,3,73,24,NA,26
4,15,4,74,25,NA,25
4,15,5,75,12,NA,38
4,16,1,76,NA,NA,NA
4,16,2,77,38,NA,12
4,16,3,78,78,28,NA
4,16,4,79,62,12,NA
4,16,5,80,65,15,NA
4,17,1,81,77,27,NA
4,17,2,82,79,29,NA
4,17,3,83,60,10,NA
4,17,4,84,NA,NA,NA
4,17,5,85,73,23,NA
4,18,1,86,72,22,NA
4,18,2,87,28,NA,22
4,18,3,88,56,6,NA
4,18,4,89,88,38,NA
4,18,5,90,70,20,NA
4,19,1,91,NA,NA,NA
4,19,2,92,NA,NA,NA
4,19,3,93,69,19,NA
4,19,4,94,29,NA,21
4,19,5,95,67,17,NA
4,20,1,96,85,35,NA
4,20,2,97,23,NA,27
4,20,3,98,39,NA,11
4,20,4,99,37,NA,13
4,20,5,100,59,9,NA
4,21,1,101,68,18,NA
4,21,2,102,77,27,NA
4,21,3,103,79,29,NA
4,21,4,104,66,16,NA
4,21,5,105,NA,NA,NA
5,1,1,1,73,23,NA
5,1,2,2,82,32,NA
5,1,3,3,11,NA,39
5,1,4,4,16,NA,34
