PID,UNIT,BEEP,OCCASION,Happy,PA,NA
A3FNz,1,1,1,NA,NA,NA
A3FNz,1,2,2,73.65196078,23.65196078,NA
A3FNz,1,3,3,69.9754902,19.9754902,NA
A3FNz,1,4,4,NA,NA,NA
A3FNz,1,5,5,80.75980392,30.75980392,NA
A3FNz,1,6,6,76.10294118,26.10294118,NA
A3FNz,2,1,7,63.7254902,13.7254902,NA
A3FNz,2,2,8,72.91666667,22.91666667,NA
A3FNz,2,3,9,63.97058824,13.97058824,NA
A3FNz,2,4,10,75.73529412,25.73529412,NA
A3FNz,2,5,11,100,50,NA
A3FNz,2,6,12,NA,NA,NA
A3FNz,3,1,13,NA,NA,NA
A3FNz,3,2,14,NA,NA,NA
A3FNz,3,3,15,NA,NA,NA
A3FNz,3,4,16,NA,NA,NA
A3FNz,3,5,17,79.90196078,29.90196078,NA
A3FNz,3,6,18,71.93627451,21.93627451,NA
A3FNz,4,1,19,81.74019608,31.74019608,NA
A3FNz,4,2,20,73.7745098,23.7745098,NA
A3FNz,4,3,21,80.75980392,30.75980392,NA
A3FNz,4,4,22,65.44117647,15.44117647,NA
A3FNz,4,5,23,69.11764706,19.11764706,NA
A3FNz,4,6,24,72.67156863,22.67156863,NA
A3FNz,5,1,25,65.19607843,15.19607843,NA
A3FNz,5,2,26,86.64215686,36.64215686,NA
A3FNz,5,3,27,80.0245098,30.0245098,NA
A3FNz,5,4,28,59.55882353,9.558823529,NA
A3FNz,5,5,29,80.6372549,30.6372549,NA
A3FNz,5,6,30,100,50,NA
A3FNz,6,1,31,NA,NA,NA
A3FNz,6,2,32,50,NA,NA
A3FNz,6,3,33,72.54901961,22.54901961,NA
A3FNz,6,4,34,NA,NA,NA
A3FNz,6,5,35,81.12745098,31.12745098,NA
A3FNz,6,6,36,85.90686275,35.90686275,NA
A3FNz,7,1,37,NA,NA,NA
A3FNz,7,2,38,74.63235294,24.63235294,NA
A3FNz,7,3,39,82.96568627,32.96568627,NA
A3FNz,7,4,40,75,25,NA
A3FNz,7,5,41,84.43627451,34.43627451,NA
A3FNz,7,6,42,99.3872549,49.3872549,NA
A3FNz,8,1,43,83.33333333,33.33333333,NA
A3FNz,8,2,44,79.28921569,29.28921569,NA
A3FNz,8,3,45,88.7254902,38.7254902,NA
A3FNz,8,4,46,87.86764706,37.86764706,NA
A3FNz,8,5,47,94.60784314,44.60784314,NA
A3FNz,8,6,48,73.52941176,23.52941176,NA
A3FNz,9,1,49,78.43137255,28.43137255,NA
A3FNz,9,2,50,87.5,37.5,NA
A3FNz,9,3,51,94.9754902,44.9754902,NA
A3FNz,9,4,52,86.8872549,36.8872549,NA
A3FNz,9,5,53,100,50,NA
A3FNz,9,6,54,65.56372549,15.56372549,NA
A3FNz,10,1,55,92.76960784,42.76960784,NA
A3FNz,10,2,56,87.25490196,37.25490196,NA
A3FNz,10,3,57,89.82843137,39.82843137,NA
A3FNz,10,4,58,98.16176471,48.16176471,NA
A3FNz,10,5,59,96.07843137,46.07843137,NA
A3FNz,10,6,60,75,25,NA
A3FNz,11,1,61,80.88235294,30.88235294,NA
A3FNz,11,2,62,88.7254902,38.7254902,NA
A3FNz,11,3,63,92.03431373,42.03431373,NA
A3FNz,11,4,64,85.78431373,35.78431373,NA
A3FNz,11,5,65,87.00980392,37.00980392,NA
A3FNz,11,6,66,93.62745098,43.62745098,NA
A3FNz,12,1,67,73.89705882,23.89705882,NA
A3FNz,12,2,68,NA,NA,NA
A3FNz,12,3,69,NA,NA,NA
A3FNz,12,4,70,NA,NA,NA
A3FNz,12,5,71,NA,NA,NA
A3FNz,12,6,72,78.92156863,28.92156863,NA
A3FNz,13,1,73,NA,NA,NA
A3FNz,13,2,74,80.26960784,30.26960784,NA
A3FNz,13,3,75,85.41666667,35.41666667,NA
A3FNz,13,4,76,79.28921569,29.28921569,NA
A3FNz,13,5,77,86.64215686,36.64215686,NA
A3FNz,13,6,78,71.81372549,21.81372549,NA
A3FNz,14,1,79,NA,NA,NA
A3FNz,14,2,80,90.80882353,40.80882353,NA
A3FNz,14,3,81,95.95588235,45.95588235,NA
A3FNz,14,4,82,76.83823529,26.83823529,NA
A3FNz,14,5,83,100,50,NA
A3FNz,14,6,84,100,50,NA
A3FNz,15,1,85,100,50,NA
A3FNz,15,2,86,87.5,37.5,NA
A3FNz,15,3,87,100,50,NA
A3FNz,15,4,88,84.80392157,34.80392157,NA
A3FNz,15,5,89,86.2745098,36.2745098,NA
A3FNz,15,6,90,96.07843137,46.07843137,NA
A3FNz,16,1,91,92.40196078,42.40196078,NA
A3FNz,16,2,92,100,50,NA
A3FNz,16,3,93,100,50,NA
A3FNz,16,4,94,100,50,NA
A3FNz,16,5,95,NA,NA,NA
A3FNz,16,6,96,NA,NA,NA
A3FNz,17,1,97,100,50,NA
A3FNz,17,2,98,100,50,NA
A3FNz,17,3,99,100,50,NA
A3FNz,17,4,100,95.46568627,45.46568627,NA
A3FNz,17,5,101,93.50490196,43.50490196,NA
A3FNz,17,6,102,79.28921569,29.28921569,NA
A3FNz,18,1,103,80.26960784,30.26960784,NA
A3FNz,18,2,104,81.8627451,31.8627451,NA
A3FNz,18,3,105,82.96568627,32.96568627,NA
A3FNz,18,4,106,86.8872549,36.8872549,NA
A3FNz,18,5,107,79.77941176,29.77941176,NA
A3FNz,18,6,108,75.49019608,25.49019608,NA
A3FNz,19,1,109,100,50,NA
A3FNz,19,2,110,95.58823529,45.58823529,NA
A3FNz,19,3,111,82.72058824,32.72058824,NA
A3FNz,19,4,112,71.32352941,21.32352941,NA
A3FNz,19,5,113,82.10784314,32.10784314,NA
A3FNz,19,6,114,77.08333333,27.08333333,NA
A3FNz,20,1,115,NA,NA,NA
A3FNz,20,2,116,84.80392157,34.80392157,NA
A3FNz,20,3,117,96.32352941,46.32352941,NA
A3FNz,20,4,118,81.49509804,31.49509804,NA
A3FNz,20,5,119,76.47058824,26.47058824,NA
A3FNz,20,6,120,76.47058824,26.47058824,NA
A3FNz,21,1,121,NA,NA,NA
A3FNz,21,2,122,92.5245098,42.5245098,NA
A3FNz,21,3,123,NA,NA,NA
A3FNz,21,4,124,80.39215686,30.39215686,NA
A3FNz,21,5,125,84.19117647,34.19117647,NA
A3FNz,21,6,126,90.07352941,40.07352941,NA
A3FNz,22,1,127,92.03431373,42.03431373,NA
A3FNz,22,2,128,100,50,NA
A3FNz,22,3,129,92.40196078,42.40196078,NA
A3FNz,22,4,130,93.50490196,43.50490196,NA
A3FNz,22,5,131,90.31862745,40.31862745,NA
A3FNz,22,6,132,98.03921569,48.03921569,NA
A3FNz,23,1,133,NA,NA,NA
A3FNz,23,2,134,93.38235294,43.38235294,NA
A3FNz,23,3,135,93.01470588,43.01470588,NA
A3FNz,23,4,136,90.31862745,40.31862745,NA
A3FNz,23,5,137,88.84803922,38.84803922,NA
A3FNz,23,6,138,96.56862745,46.56862745,NA
A3FNz,24,1,139,100,50,NA
A3FNz,24,2,140,100,50,NA
A3FNz,24,3,141,100,50,NA
A3FNz,24,4,142,100,50,NA
A3FNz,24,5,143,100,50,NA
A3FNz,24,6,144,97.32763228,47.32763228,NA
A3FNz,25,1,145,100,50,NA
A3FNz,25,2,146,100,50,NA
A3FNz,25,3,147,95.14706182,45.14706182,NA
A3FNz,25,4,148,81.56863194,31.56863194,NA
A3FNz,25,5,149,100,50,NA
A3FNz,25,6,150,86.61764556,36.61764556,NA
A3FNz,26,1,151,100,50,NA
A3FNz,26,2,152,NA,NA,NA
A3FNz,26,3,153,NA,NA,NA
A3FNz,26,4,154,NA,NA,NA
A3FNz,26,5,155,100,50,NA
A3FNz,26,6,156,94.74265155,44.74265155,NA
A3FNz,27,1,157,NA,NA,NA
A3FNz,27,2,158,100,50,NA
A3FNz,27,3,159,100,50,NA
A3FNz,27,4,160,100,50,NA
A3FNz,27,5,161,100,50,NA
A3FNz,27,6,162,100,50,NA
A3FNz,28,1,163,97.24264706,47.24264706,NA
A3FNz,28,2,164,100,50,NA
A3FNz,28,3,165,100,50,NA
A3FNz,28,4,166,100,50,NA
A3FNz,28,5,167,98.28431373,48.28431373,NA
A3FNz,28,6,168,100,50,NA
A3FNz,29,1,169,100,50,NA
A3FNz,29,2,170,95.74754752,45.74754752,NA
A3FNz,29,3,171,100,50,NA
A3FNz,29,4,172,NA,NA,NA
A3FNz,29,5,173,NA,NA,NA
A3FNz,29,6,174,NA,NA,NA
A3XAe,1,1,1,NA,NA,NA
A3XAe,1,2,2,NA,NA,NA
A3XAe,1,3,3,NA,NA,NA
A3XAe,1,4,4,88.48821467,38.48821467,NA
A3XAe,1,5,5,68.62943245,18.62943245,NA
A3XAe,1,6,6,NA,NA,NA
A3XAe,2,1,7,42.71844806,NA,7.281551939
A3XAe,2,2,8,NA,NA,NA
A3XAe,2,3,9,NA,NA,NA
A3XAe,2,4,10,NA,NA,NA
A3XAe,2,5,11,NA,NA,NA
A3XAe,2,6,12,81.49036061,31.49036061,NA
A3XAe,3,1,13,83.57080402,33.57080402,NA
A3XAe,3,2,14,88.2990866,38.2990866,NA
A3XAe,3,3,15,91.13605384,41.13605384,NA
A3XAe,3,4,16,NA,NA,NA
A3XAe,3,5,17,90.37953001,40.37953001,NA
A3XAe,3,6,18,85.65124743,35.65124743,NA
A3XAe,4,1,19,89.43386656,39.43386656,NA
A3XAe,4,2,20,NA,NA,NA
A3XAe,4,3,21,92.08170573,42.08170573,NA
A3XAe,4,4,22,100,50,NA
A3XAe,4,5,23,NA,NA,NA
A3XAe,4,6,24,54.06632279,4.066322789,NA
A3XAe,5,1,25,NA,NA,NA
A3XAe,5,2,26,73.35771503,23.35771503,NA
A3XAe,5,3,27,69.57508434,19.57508434,NA
A3XAe,5,4,28,91.89257766,41.89257766,NA
A3XAe,5,5,29,NA,NA,NA
A3XAe,5,6,30,81.30122098,31.30122098,NA
A3XAe,6,1,31,NA,NA,NA
A3XAe,6,2,32,53.12066512,3.120665117,NA
A3XAe,6,3,33,89.62300618,39.62300618,NA
A3XAe,6,4,34,100,50,NA
A3XAe,6,5,35,NA,NA,NA
A3XAe,6,6,36,73.16858118,23.16858118,NA
A3XAe,7,1,37,50,NA,NA
A3XAe,7,2,38,NA,NA,NA
A3XAe,7,3,39,38.93582315,NA,11.06417685
A3XAe,7,4,40,98.89043172,48.89043172,NA
A3XAe,7,5,41,83.38166439,33.38166439,NA
A3XAe,7,6,42,81.30122098,31.30122098,NA
A3XAe,8,1,43,62.00983452,12.00983452,NA
A3XAe,8,2,44,72.41205736,22.41205736,NA
A3XAe,8,3,45,73.73597694,23.73597694,NA
A3XAe,8,4,46,NA,NA,NA
A3XAe,8,5,47,79.22077757,29.22077757,NA
A3XAe,8,6,48,80.35556909,30.35556909,NA
A3XAe,9,1,49,NA,NA,NA
A3XAe,9,2,50,NA,NA,NA
A3XAe,9,3,51,NA,NA,NA
A3XAe,9,4,52,96.80998831,46.80998831,NA
A3XAe,9,5,53,99.07955979,49.07955979,NA
A3XAe,9,6,54,86.78602739,36.78602739,NA
A3XAe,10,1,55,44.60976341,NA,5.390236594
A3XAe,10,2,56,38.74668931,NA,11.25331069
A3XAe,10,3,57,89.24473849,39.24473849,NA
A3XAe,10,4,58,82.05774481,32.05774481,NA
A3XAe,10,5,59,90.00126232,40.00126232,NA
A3XAe,10,6,60,98.89043172,48.89043172,NA
A3XAe,11,1,61,74.11423885,24.11423885,NA
